pubKey,chPosition,chSlug,chName,chAbbrev,chNumber,bookSlug,chChurchUri
en_ot_kjv,0,genesis-1,Genesis 1,Gen. 1,1,genesis,/scriptures/ot/gen/1
en_ot_kjv,1,genesis-2,Genesis 2,Gen. 2,2,genesis,/scriptures/ot/gen/2
en_ot_kjv,2,genesis-3,Genesis 3,Gen. 3,3,genesis,/scriptures/ot/gen/3
en_ot_kjv,3,genesis-4,Genesis 4,Gen. 4,4,genesis,/scriptures/ot/gen/4
en_ot_kjv,4,genesis-5,Genesis 5,Gen. 5,5,genesis,/scriptures/ot/gen/5
en_ot_kjv,5,genesis-6,Genesis 6,Gen. 6,6,genesis,/scriptures/ot/gen/6
en_ot_kjv,6,genesis-7,Genesis 7,Gen. 7,7,genesis,/scriptures/ot/gen/7
en_ot_kjv,7,genesis-8,Genesis 8,Gen. 8,8,genesis,/scriptures/ot/gen/8
en_ot_kjv,8,genesis-9,Genesis 9,Gen. 9,9,genesis,/scriptures/ot/gen/9
en_ot_kjv,9,genesis-10,Genesis 10,Gen. 10,10,genesis,/scriptures/ot/gen/10
en_ot_kjv,10,genesis-11,Genesis 11,Gen. 11,11,genesis,/scriptures/ot/gen/11
en_ot_kjv,11,genesis-12,Genesis 12,Gen. 12,12,genesis,/scriptures/ot/gen/12
en_ot_kjv,12,genesis-13,Genesis 13,Gen. 13,13,genesis,/scriptures/ot/gen/13
en_ot_kjv,13,genesis-14,Genesis 14,Gen. 14,14,genesis,/scriptures/ot/gen/14
en_ot_kjv,14,genesis-15,Genesis 15,Gen. 15,15,genesis,/scriptures/ot/gen/15
en_ot_kjv,15,genesis-16,Genesis 16,Gen. 16,16,genesis,/scriptures/ot/gen/16
en_ot_kjv,16,genesis-17,Genesis 17,Gen. 17,17,genesis,/scriptures/ot/gen/17
en_ot_kjv,17,genesis-18,Genesis 18,Gen. 18,18,genesis,/scriptures/ot/gen/18
en_ot_kjv,18,genesis-19,Genesis 19,Gen. 19,19,genesis,/scriptures/ot/gen/19
en_ot_kjv,19,genesis-20,Genesis 20,Gen. 20,20,genesis,/scriptures/ot/gen/20
en_ot_kjv,20,genesis-21,Genesis 21,Gen. 21,21,genesis,/scriptures/ot/gen/21
