bookSlug	langBcp47	bookName	bookAbbrev	bookPosition	bookChurchUri	volumeSlug
genesis	en	Genesis	Gen.	0	/scriptures/ot/gen	old-testament
exodus	en	Exodus	Ex.	1	/scriptures/ot/ex	old-testament
leviticus	en	Leviticus	Lev.	2	/scriptures/ot/lev	old-testament
numbers	en	Numbers	Num.	3	/scriptures/ot/num	old-testament
deuteronomy	en	Deuteronomy	Deut.	4	/scriptures/ot/deut	old-testament
joshua	en	Joshua	Josh.	5	/scriptures/ot/josh	old-testament
judges	en	Judges	Judg.	6	/scriptures/ot/judg	old-testament
ruth	en	Ruth	Ruth	7	/scriptures/ot/ruth	old-testament
1-samuel	en	1 Samuel	1 Sam.	8	/scriptures/ot/1-sam	old-testament
2-samuel	en	2 Samuel	2 Sam.	9	/scriptures/ot/2-sam	old-testament
1-kings	en	1 Kings	1 Kgs.	10	/scriptures/ot/1-kgs	old-testament
2-kings	en	2 Kings	2 Kgs.	11	/scriptures/ot/2-kgs	old-testament
1-chronicles	en	1 Chronicles	1 Chr.	12	/scriptures/ot/1-chr	old-testament
2-chronicles	en	2 Chronicles	2 Chr.	13	/scriptures/ot/2-chr	old-testament
ezra	en	Ezra	Ezra	14	/scriptures/ot/ezra	old-testament
nehemiah	en	Nehemiah	Neh.	15	/scriptures/ot/neh	old-testament
esther	en	Esther	Esth.	16	/scriptures/ot/esth	old-testament
job	en	Job	Job	17	/scriptures/ot/job	old-testament
psalms	en	Psalms	Ps.	18	/scriptures/ot/ps	old-testament
proverbs	en	Proverbs	Prov.	19	/scriptures/ot/prov	old-testament
ecclesiastes	en	Ecclesiastes	Eccl.	20	/scriptures/ot/eccl	old-testament
song-of-solomon	en	Song of Solomon	Song	21	/scriptures/ot/song	old-testament
isaiah	en	Isaiah	Isa.	22	/scriptures/ot/isa	old-testament
jeremiah	en	Jeremiah	Jer.	23	/scriptures/ot/jer	old-testament
lamentations	en	Lamentations	Lam.	24	/scriptures/ot/lam	old-testament
ezekiel	en	Ezekiel	Ezek.	25	/scriptures/ot/ezek	old-testament
daniel	en	Daniel	Dan.	26	/scriptures/ot/dan	old-testament
hosea	en	Hosea	Hosea	27	/scriptures/ot/hosea	old-testament
joel	en	Joel	Joel	28	/scriptures/ot/joel	old-testament
amos	en	Amos	Amos	29	/scriptures/ot/amos	old-testament
obadiah	en	Obadiah	Obad.	30	/scriptures/ot/obad	old-testament
jonah	en	Jonah	Jonah	31	/scriptures/ot/jonah	old-testament
micah	en	Micah	Micah	32	/scriptures/ot/micah	old-testament
nahum	en	Nahum	Nahum	33	/scriptures/ot/nahum	old-testament
habakkuk	en	Habakkuk	Hab.	34	/scriptures/ot/hab	old-testament
zephaniah	en	Zephaniah	Zeph.	35	/scriptures/ot/zeph	old-testament
haggai	en	Haggai	Hag.	36	/scriptures/ot/hag	old-testament
zechariah	en	Zechariah	Zech.	37	/scriptures/ot/zech	old-testament
malachi	en	Malachi	Mal.	38	/scriptures/ot/mal	old-testament
matthew	en	Matthew	Matt.	39	/scriptures/nt/matt	new-testament
mark	en	Mark	Mark	40	/scriptures/nt/mark	new-testament
luke	en	Luke	Luke	41	/scriptures/nt/luke	new-testament
john	en	John	John	42	/scriptures/nt/john	new-testament
acts	en	Acts	Acts	43	/scriptures/nt/acts	new-testament
romans	en	Romans	Rom.	44	/scriptures/nt/rom	new-testament
1-corinthians	en	1 Corinthians	1 Cor.	45	/scriptures/nt/1-cor	new-testament
2-corinthians	en	2 Corinthians	2 Cor.	46	/scriptures/nt/2-cor	new-testament
galations	en	Galatians	Gal.	47	/scriptures/nt/gal	new-testament
ephesians	en	Ephesians	Eph.	48	/scriptures/nt/eph	new-testament
philippians	en	Philippians	Philip.	49	/scriptures/nt/philip	new-testament
colossians	en	Colossians	Col.	50	/scriptures/nt/col	new-testament
1-thessalonians	en	1 Thessalonians	1 Thes.	51	/scriptures/nt/1-thes	new-testament
2-thessalonians	en	2 Thessalonians	2 Thes.	52	/scriptures/nt/2-thes	new-testament
1-timothy	en	1 Timothy	1 Tim.	53	/scriptures/nt/1-tim	new-testament
2-timothy	en	2 Timothy	2 Tim.	54	/scriptures/nt/2-tim	new-testament
titus	en	Titus	Titus	55	/scriptures/nt/titus	new-testament
